id,task_statement_id,scenario,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,correct_explanation,wrong_explanation_1,wrong_explanation_2,wrong_explanation_3,created_at,service_tags
185cca58-1485-47cb-979f-94abbb506fb1,b588c4c0-6c52-405e-98b3-323b7dc3a8d4,"In a RAG application, what is the role of the ""AUGMENTATION"" step?",Inserting retrieved context into the prompt sent to the foundation model so the FM grounds its answer in that context,Adding more training data to the foundation model,Adding additional GPUs to the inference endpoint,Adding new tokens to the model's vocabulary,"The augmentation step injects retrieved context (relevant chunks from the vector store) into the prompt sent to the FM. The FM then generates a response that is grounded in that context, rather than relying solely on its parametric knowledge.",RAG operates at inference time and does not add training data to the FM.,"GPU capacity is an infrastructure concern, not a RAG step.","Vocabulary expansion is a tokenizer-level change, not part of RAG.",2026-05-17 09:11:00.713353+00,
1898ee01-8a3a-454d-8ad1-58f6fe450d03,403aefcb-27d7-4c61-bcd3-0de3b1875935,A company runs a batch processing workload that requires 500 vCPUs for 4 hours each night. The workload is fault-tolerant and can be restarted if interrupted. The company wants to minimize compute costs. Which EC2 purchasing option should the solutions architect recommend?,"Use EC2 Spot Instances with a Spot Fleet or Auto Scaling group configured to maintain the required capacity, taking advantage of the up to 90% discount over On-Demand pricing.",Purchase 500 vCPUs worth of Reserved Instances with a 1-year term to cover the nightly batch workload.,Use On-Demand Instances and schedule them to run only during the 4-hour batch window each night.,Use Dedicated Hosts to ensure consistent hardware availability for the nightly batch workload.,"Spot Instances offer up to 90% discount over On-Demand pricing and are ideal for fault-tolerant, interruptible batch workloads. Since the workload can be restarted if interrupted, Spot interruptions are acceptable. A Spot Fleet or Auto Scaling group with multiple instance types and AZs maximizes availability of Spot capacity at the lowest cost.","Reserved Instances provide a discount for steady-state workloads that run continuously. A workload that runs only 4 hours per night uses Reserved Instances for only 17% of the time, making the reservation inefficient. The unused hours are wasted spend.","On-Demand Instances are the most flexible option but the most expensive per hour. For a cost-sensitive batch workload that runs nightly, On-Demand pricing is significantly more expensive than Spot pricing.",Dedicated Hosts provide physical server isolation for licensing or compliance requirements. They are the most expensive EC2 option and provide no cost benefit for a batch workload that has no dedicated hardware requirements.,2026-05-17 09:14:46.790373+00,"[""ec2"",""spot-instances""]"
18cd5bb8-fd3e-4229-994d-fdfcf997ebbe,f36451d8-dea1-48d9-be5a-4b033423ab9d,A telecommunications carrier wants to deploy an application that processes mobile device traffic directly inside the carrier's 5G network for ultra-low latency. Which AWS offering is purpose-built for this scenario?,AWS Wavelength,AWS Direct Connect,AWS Snowball Edge,AWS Global Accelerator,"AWS Wavelength embeds AWS compute and storage at the edge of 5G telecommunications networks, enabling applications to process mobile traffic without it traversing to a Region. This is the AWS offering specifically designed for 5G edge workloads.","Direct Connect is a dedicated, private connection from on-premises networks to AWS. It is not deployed inside carrier 5G networks.","Snowball Edge is a portable data transfer and edge compute appliance for remote or disconnected locations, not for 5G carrier-network deployment.",Global Accelerator routes user traffic to the optimal AWS endpoint over the AWS network. It does not place compute inside 5G networks.,2026-05-17 09:07:51.173233+00,"[""wavelength""]"
18d78149-742e-4503-a39a-7e539985b77f,402c05d5-9e9f-47e5-a59d-cf29a8b0a2e7,A developer needs to configure a CloudWatch alarm that triggers only when all three data points in the most recent three consecutive evaluation periods exceed a threshold. The metric is checked every minute. How should the developer configure the alarm?,Set the Evaluation Period to 3 and Datapoints to Alarm to 3.,Set the Period to 3 minutes and Datapoints to Alarm to 3.,Set the Evaluation Period to 3 and use high-resolution metrics with a 10-second period.,Set the Evaluation Period to 1 and Datapoints to Alarm to 3.,Evaluation Period defines how many of the most recent data points to evaluate. Datapoints to Alarm defines how many of those data points must be breaching for the alarm to trigger. Setting both to 3 means all three of the most recent consecutive 1-minute data points must exceed the threshold before the alarm fires. This prevents false alarms from transient spikes.,"Period defines the length of time (in seconds) for each individual data point — it is not the number of periods to evaluate. Setting Period to 3 minutes would create one data point every 3 minutes, not evaluate 3 consecutive 1-minute data points. The correct setting is Evaluation Period, not Period.","High-resolution metrics with a 10-second period would create data points every 10 seconds, not every minute. This changes the metric resolution and is not needed to configure the 3-consecutive-period alarm behavior described in the scenario.","Setting Evaluation Period to 1 means only the most recent data point is evaluated. With Datapoints to Alarm set to 3, the alarm would require 3 breaching data points out of 1 evaluated period, which is impossible. The Evaluation Period must be at least equal to Datapoints to Alarm.",2026-05-17 09:13:12.626897+00,"[""cloudwatch""]"
191ed1df-3dd4-42f9-9c7d-d8af5640ef65,c9ff527d-763f-4b34-8d08-a31c1a218d98,A startup needs to handle highly unpredictable load. The CTO wants to avoid both buying servers up front and over-paying for a fixed monthly capacity. Which approach BEST aligns with AWS Cloud economic principles?,"Use elastic services like Auto Scaling and Lambda, paying only for what is consumed",Buy three-year Reserved Instances at All Upfront pricing for predicted peak load,Co-locate hardware in a third-party data center and connect to AWS,Provision a single very large EC2 instance to handle worst case,"AWS's elastic services let capacity track demand, and pay-as-you-go billing converts what would have been over-provisioning waste into actual usage cost. For unpredictable load, this is the most economically aligned approach.","Three-year All Upfront RIs sized for peak load defeat the goal: capacity is paid for regardless of actual demand, and capital is committed up front.",Co-location reintroduces capital expense and operational overhead — the opposite of the cloud economic model.,"A single very large instance over-provisions for worst case all the time, wasting money on idle capacity during normal load.",2026-05-17 09:08:24.437166+00,"[""auto-scaling"",""lambda""]"
1924c6bf-838b-47fa-8f11-c9095d56c7ec,ecfaf33c-68d7-42ec-9e04-b592d16f9822,"A data engineering team uses AWS Glue crawlers to automatically discover and catalog datasets stored in Amazon S3. The S3 bucket contains partitioned Parquet files organized by year, month, and day. After running the crawler, the team notices that the Data Catalog table does not include partition columns. What is the most likely cause?",The crawler did not detect the partition structure because the S3 path does not follow the Hive-style partitioning format (key=value),The Glue crawler does not have permission to read partition metadata from S3,The Parquet files do not include partition columns in their schema,The Glue Data Catalog has reached its maximum number of partitions,"AWS Glue crawlers automatically detect partitions when S3 paths follow the Hive-style partitioning format (e.g., s3://bucket/table/year=2024/month=01/day=15/). If the paths use a different format (e.g., s3://bucket/table/2024/01/15/), the crawler will not recognize them as partitions. You can manually add partitions or restructure the S3 paths to follow Hive-style partitioning.","If the Glue crawler did not have permission to read S3 data, it would fail entirely and not create a table in the Data Catalog. The issue is not permissions but the partition path format.","Partition columns are derived from the S3 path structure, not from the Parquet file schema. Parquet files in partitioned datasets typically do not include partition columns in their schema because those values are encoded in the directory structure.","The Glue Data Catalog supports millions of partitions per table. Reaching the partition limit is extremely unlikely and would result in an error message, not silently omitting partition columns from the table definition.",2026-05-17 09:12:49.173773+00,"[""glue"",""data-catalog"",""s3""]"
193da23c-4aae-449a-9658-490bf91a838a,b20017d4-f43d-4d5e-a873-681dca366f11,A company has multiple VPCs in the same AWS Region that need to communicate with each other and with an on-premises network connected via AWS Direct Connect. The company expects to add more VPCs in the future. The solutions architect wants a hub-and-spoke network topology that minimizes the number of connections to manage. Which service should the architect use?,"Deploy AWS Transit Gateway and attach all VPCs and the Direct Connect gateway to it, creating a centralized hub for all network traffic.",Create VPC peering connections between every pair of VPCs and configure the on-premises router to connect to each VPC individually.,Use AWS PrivateLink to create interface endpoints in each VPC to enable cross-VPC communication.,Deploy a transit VPC using EC2-based VPN appliances to route traffic between all VPCs and the on-premises network.,"AWS Transit Gateway acts as a regional network hub that connects multiple VPCs and on-premises networks through a single gateway. Each VPC and the Direct Connect gateway attach to the Transit Gateway once, and routing is managed centrally. Adding new VPCs requires only a single new attachment, making it highly scalable for growing environments.",VPC peering requires a separate peering connection between every pair of VPCs (N*(N-1)/2 connections for N VPCs). Peering connections are also non-transitive — traffic cannot flow through an intermediate VPC. This approach does not scale and becomes unmanageable as the number of VPCs grows.,AWS PrivateLink enables private access to specific services across VPCs but is not designed for general-purpose VPC-to-VPC routing. It requires creating individual endpoints for each service and does not support transitive routing or on-premises connectivity.,"A transit VPC using EC2-based VPN appliances was a common pattern before Transit Gateway existed. It requires managing EC2 instances, VPN software, routing configurations, and high availability — significantly more operational overhead than Transit Gateway.",2026-05-17 09:14:46.790373+00,"[""transit-gateway"",""direct-connect"",""vpc""]"
1958ef69-6312-41e7-b210-e5b1844c74e8,94481e42-2c76-4d1c-9572-86aa3ef0b271,"A team needs the LLM to respond ONLY with valid JSON conforming to a specific schema, so the response can be parsed programmatically. Which prompt engineering practice BEST supports this?","Specify the exact JSON schema and an example in the prompt, optionally combined with output indicators and JSON-mode features",Increase temperature so JSON is more creative,Increase Top-P to widen the candidate pool,Switch to Amazon Polly,Specifying the expected JSON schema (and an example) in the prompt — combined with output indicators or model-specific JSON-mode features — significantly improves the likelihood the LLM returns parseable JSON.,Higher temperature increases randomness and reduces structural reliability.,Higher Top-P also increases diversity and can break strict structural output.,"Polly is a text-to-speech service, not an LLM JSON tool.",2026-05-17 09:11:00.713353+00,
19789d8b-5d8d-468d-9f87-94b92999b670,6aca2074-e949-4651-9802-5191b305f540,A startup wants to evaluate whether generative AI is suitable for a task before investing in a full implementation. Which factor argues AGAINST using a foundation model when accuracy and reproducibility are paramount?,"Generative AI outputs can be probabilistic and non-deterministic, varying between identical requests",Generative AI models cannot accept user input,Generative AI cannot produce text in English,Generative AI requires zero compute resources,"By design, generative LLMs produce probabilistic outputs that can vary between identical requests (especially at non-zero temperature). For workflows requiring strict reproducibility or numerical precision, this variability is a limitation to account for.",Generative AI explicitly responds to user input.,Generative AI commonly produces text in many languages including English.,Generative AI is compute-intensive at inference and training.,2026-05-17 09:09:27.200974+00,
19cbb4a8-f82c-4fff-a5f2-29e1784c6328,a2e6c898-cbef-412e-b3f1-e0b8a4a31ca0,A company wants to receive automated alerts when their SageMaker inference endpoint's average latency exceeds 500 milliseconds over a 5-minute period. Which AWS service should be used to configure this alert?,Amazon CloudWatch Alarms,Amazon SageMaker Model Monitor,AWS Health Dashboard,Amazon GuardDuty,"Amazon CloudWatch automatically collects SageMaker endpoint metrics including ModelLatency and OverheadLatency. You can create a CloudWatch Alarm that triggers when the average ModelLatency metric exceeds 500 milliseconds over a 5-minute evaluation period, sending notifications via SNS or triggering automated remediation.",SageMaker Model Monitor detects data drift and model quality degradation by analyzing the statistical properties of inference inputs and outputs. It does not monitor infrastructure-level metrics like endpoint latency.,AWS Health Dashboard provides information about AWS service health events and scheduled maintenance. It does not monitor application-level metrics like SageMaker endpoint latency.,Amazon GuardDuty is a threat detection service that monitors for malicious activity and unauthorized behavior. It does not monitor application performance metrics like inference latency.,2026-05-17 09:13:59.248925+00,"[""sagemaker"",""cloudwatch""]"
19df9e11-35f8-474b-ac0c-0a909da5bea8,4dbe4195-8590-4799-9b23-53dee6cab688,"A developer has deployed a Lambda function that runs in DEV, UAT, and PROD environments. The function uses different database endpoints and log levels depending on the environment. These values are currently hardcoded in the function code, requiring a redeployment every time an environment-specific value changes. What should the developer do to reference the appropriate values per environment without modifying the function code?",Use Lambda environment variables to store the environment-specific values and reference them in the function code via the runtime's standard environment variable API.,"Publish three separate versions of the Lambda function with different hardcoded values and assign aliases DEV, UAT, and PROD to each version.",Create a stage variable in API Gateway called ENV and pass it to the Lambda function on each invocation.,Create individual Lambda Layers for each environment containing the configuration values.,"Lambda environment variables are key-value pairs defined in the function configuration. They are injected into the runtime environment and accessible via standard APIs (e.g., process.env in Node.js, os.environ in Python) without any code changes. Updating an environment variable does not require redeployment — only a configuration update. Different values can be set per environment by configuring each function's environment variables independently.",Publishing separate versions with different hardcoded values still requires a code change and redeployment whenever a value needs to change. Aliases are pointers to versions — they do not allow configuration values to be changed independently of the code.,"API Gateway stage variables are a feature of API Gateway, not Lambda. They can be passed to Lambda as part of the event payload, but this requires the function to be invoked through API Gateway and adds coupling between the function and the API configuration. Lambda environment variables are the correct mechanism for function-level configuration.","Lambda Layers contain shared code libraries, custom runtimes, or binary dependencies packaged as ZIP archives. They are not designed to store environment-specific configuration values, and creating a separate layer per environment adds unnecessary complexity and overhead.",2026-05-17 09:13:12.626897+00,"[""lambda""]"
1a29dae6-7c1c-4c87-b38e-7a229aacd978,bcc6cd2c-8d70-43d7-b65c-11cbc0641c8b,A data scientist has trained three different binary classification models and wants to compare their performance across all possible classification thresholds to select the best one for a medical diagnosis application. Which evaluation approach is most appropriate?,Compare the AUC-ROC curves for all three models,Compare the accuracy of all three models at a fixed threshold of 0.5,Compare the F1 scores of all three models at a fixed threshold of 0.5,Compare the training loss curves of all three models,"The AUC-ROC (Area Under the Receiver Operating Characteristic Curve) evaluates model performance across all possible classification thresholds by plotting the true positive rate against the false positive rate. A higher AUC indicates better overall discrimination ability regardless of the chosen threshold, making it ideal for comparing models in a medical diagnosis context where the optimal threshold may need to be tuned.","Comparing accuracy at a fixed threshold of 0.5 evaluates models at only one operating point and is sensitive to class imbalance. It does not capture how models perform across the full range of thresholds, which is important when the optimal threshold is unknown.","Comparing F1 scores at a fixed threshold evaluates the balance between precision and recall at one specific operating point. Like accuracy, it does not capture model behavior across all thresholds and may not reflect the best threshold for a medical application.",Training loss curves show how well the model fits the training data during optimization. They do not measure generalization performance on held-out test data and cannot be used to compare models for deployment.,2026-05-17 09:13:59.248925+00,"[""sagemaker""]"
1a4b6404-4e7f-42e0-91e9-80d508a4719d,9908e524-4690-47e0-a915-0c4c95d1acd1,A machine learning team is building a fraud detection model. The training dataset has 98% legitimate transactions and 2% fraudulent ones. The team is concerned that the model will be biased toward predicting the majority class. Which technique should the team apply during data preparation to address this class imbalance?,Apply SMOTE (Synthetic Minority Oversampling Technique) to oversample the minority class,Remove samples from the majority class until both classes are equal in size,Duplicate the minority class samples until both classes are equal in size,Apply PCA to reduce the dimensionality of the dataset,"SMOTE generates synthetic samples for the minority class by interpolating between existing minority class examples. This increases the representation of fraudulent transactions without simply duplicating existing samples, which helps the model learn more robust decision boundaries for the minority class.","Random undersampling of the majority class can address imbalance but discards a large portion of legitimate transaction data, potentially losing important patterns. With a 98/2 split, this would eliminate 96% of the training data.",Simple duplication of minority class samples (random oversampling) increases the count but does not add new information. The model may overfit to the exact duplicated samples rather than learning generalizable patterns for fraud detection.,PCA is a dimensionality reduction technique that reduces the number of features. It does not address class imbalance and would not help the model learn to distinguish between the majority and minority classes.,2026-05-17 09:13:40.338933+00,"[""sagemaker"",""sagemaker-data-wrangler""]"
1a893071-3196-45ad-9534-3820c563a276,4dbe4195-8590-4799-9b23-53dee6cab688,"Your serverless application uses API Gateway with Lambda proxy integration. The API has response caching enabled with a TTL of 300 seconds. During a live incident, you need to force all clients to receive fresh data from the Lambda function immediately without waiting for the cache to expire or changing the TTL. What is the correct way to bypass the cache for a specific request?",Include the Cache-Control: max-age=0 header in the request.,Add a unique query string parameter to each request to create a distinct cache key.,Disable the API Gateway stage cache from the console and re-enable it after the incident.,"Invoke the Lambda function directly using the AWS SDK, bypassing API Gateway entirely.","API Gateway supports per-request cache invalidation when the client sends a Cache-Control: max-age=0 header. The client receives a fresh response directly from the Lambda integration, and the cache entry is replaced with the new response. The caller must be authorized to invalidate the cache for this to work.","Adding a unique query string parameter creates a new cache key, so the first request with that parameter hits the backend. However, this is a workaround that pollutes the cache with unique entries rather than the correct invalidation mechanism. It also requires client-side changes for every request.","Disabling and re-enabling the stage cache clears all cached responses but causes a brief period of increased backend load as all requests hit Lambda simultaneously. It is also a destructive operation that affects all clients, not just the specific request needing fresh data.","Invoking Lambda directly bypasses API Gateway's throttling, authorization, and logging. It is not a valid production pattern for cache invalidation and requires the caller to have direct Lambda invocation permissions.",2026-05-17 09:13:24.511734+00,"[""api-gateway"",""lambda""]"
1aba12ef-8867-4de0-9b08-49444fbeac95,1573197f-70bd-4a91-87d5-0a3c48096f15,"A data scientist needs to build a model to predict customer churn for a subscription service. The dataset contains 50,000 labeled records with 40 features including demographics, usage patterns, and billing history. The team wants a model that is interpretable enough for the business team to understand which features drive churn. Which algorithm is most appropriate?",XGBoost,Deep neural network (DNN),K-means clustering,Principal Component Analysis (PCA),"XGBoost is a gradient boosting algorithm well-suited for tabular classification problems. It produces feature importance scores that make it interpretable for business stakeholders, handles mixed feature types well, and consistently achieves strong performance on structured datasets like this one.","A deep neural network can achieve high accuracy on tabular data but is generally considered a black-box model. It requires more data and tuning to outperform gradient boosting on structured tabular datasets, and it does not natively provide the feature importance interpretability the business team requires.","K-means clustering is an unsupervised algorithm used for grouping unlabeled data into clusters. Since the dataset has labeled churn outcomes, this is a supervised classification problem — k-means is not applicable.","PCA is a dimensionality reduction technique, not a predictive model. It cannot be used directly to predict churn and would reduce interpretability by transforming original features into abstract principal components.",2026-05-17 09:13:40.338933+00,"[""sagemaker"",""sagemaker-built-in-algorithms""]"
1afcfcdd-76bc-436c-a6a3-f803004fd8d9,28da2b21-d04f-4572-8e2c-320e8a522e37,A company has an AWS Organization with a management account and 25 member accounts. Reserved Instances purchased in one member account go unused. Which feature can help OTHER member accounts benefit from those Reserved Instances?,RI and Savings Plan sharing within the Organization (enabled by the management account),AWS Trusted Advisor automatically transfers the RIs,AWS Service Catalog reassigns the RIs,AWS Marketplace sells unused RIs back to AWS at full price,"AWS Organizations supports sharing of Reserved Instance and Savings Plan discount benefits across linked accounts. When sharing is enabled, unused RI capacity in one account can apply to matching usage in another account in the family.",Trusted Advisor flags underutilized RIs but does not redistribute them automatically.,Service Catalog publishes approved IT products; it does not redistribute RIs.,"AWS does not buy back RIs at full price; customers can sell Standard RIs in the Reserved Instance Marketplace, but sharing across the Organization is the simpler answer.",2026-05-17 09:08:54.872441+00,"[""organizations""]"
1b458cc2-5926-430f-91e1-f50fe03c6d28,89346455-43f6-45dd-b8b3-cf954abd605d,"A finance manager wants to be alerted by email when AWS spend exceeds $5,000 in any given month, and again when forecasted spend is projected to exceed $7,500. Which AWS service should be configured?",AWS Budgets,AWS Cost Explorer,AWS Trusted Advisor,AWS Cost Anomaly Detection only,"AWS Budgets supports both actual-spend and forecasted-spend thresholds, with notifications via email or SNS when thresholds are crossed. It is the appropriate service for setting per-period budget alerts.",Cost Explorer visualizes spend trends but does not send threshold-based alerts by itself.,Trusted Advisor checks for best-practice recommendations including some cost-related ones but does not provide budget-threshold alerting.,Cost Anomaly Detection identifies unusual spending patterns. It complements Budgets but does not handle simple threshold alerts.,2026-05-17 09:07:51.173233+00,"[""aws-budgets""]"
1b86f062-412a-401c-9720-9601bb96ec22,023852d0-8f36-4e39-83a9-34e9a2cccd93,"A company uses Amazon SageMaker Pipelines to retrain their fraud detection model weekly. After each training run, the team wants to automatically register the new model in a central repository, track its version, and require a manual approval step before it is deployed to production. Which SageMaker feature supports model versioning and approval workflows?",Amazon SageMaker Model Registry,Amazon SageMaker Experiments,Amazon S3 versioning,AWS CodeArtifact,"Amazon SageMaker Model Registry provides a central repository for registering, versioning, and managing ML models. It supports approval workflows where models can be set to 'PendingManualApproval' status, requiring a human reviewer to approve before the model is deployed to production. It integrates natively with SageMaker Pipelines.","Amazon SageMaker Experiments tracks training runs and their associated metrics and parameters. It does not provide model versioning, approval workflows, or a deployment-ready model registry.","Amazon S3 versioning tracks versions of objects stored in S3 buckets. While model artifacts are stored in S3, S3 versioning does not provide ML-specific metadata, approval workflows, or integration with SageMaker deployment pipelines.","AWS CodeArtifact is a package management service for software artifacts like npm, Maven, and PyPI packages. It is not designed for managing ML model versions or approval workflows.",2026-05-17 09:13:59.248925+00,"[""sagemaker"",""sagemaker-model-registry""]"
1ba2e283-4880-4342-8b08-6bf4b70d02ed,b71f2be3-347c-4cd1-a3b8-b736c5257e5c,"A machine learning team is preparing a training dataset for a classification model. After profiling the data, they discover that one feature has a very high correlation (r = 0.98) with another feature already in the dataset. Including both features may cause multicollinearity issues. Which approach should the team take?",Remove one of the two highly correlated features from the dataset,Apply SMOTE to both features to reduce their correlation,Apply one-hot encoding to both features,Impute both features with their respective means,"When two features are highly correlated (r = 0.98), they carry nearly identical information. Keeping both can cause multicollinearity in linear models, inflate feature importance scores, and add noise without adding predictive value. Removing one of the redundant features simplifies the model and reduces the risk of these issues.",SMOTE is an oversampling technique for addressing class imbalance in the target variable. It generates synthetic samples and does not reduce or modify the correlation between input features.,One-hot encoding is used for categorical features. Applying it to numeric features would destroy their continuous information and is not applicable to addressing multicollinearity between numeric columns.,"Imputing with the mean fills in missing values and does not change the correlation structure between features. It does not address multicollinearity between two fully observed, highly correlated features.",2026-05-17 09:13:59.248925+00,"[""sagemaker"",""sagemaker-data-wrangler""]"
1ba7b6c1-d304-4fb6-a6a0-465a7e964151,09124384-e090-4497-b972-80f3e6e05ddd,A team is provisioning an EC2 instance and needs persistent block storage to attach as a root volume that survives instance stop/start. Which AWS service provides this storage?,Amazon Elastic Block Store (EBS),Amazon S3,Amazon EC2 Instance Store,Amazon EFS,Amazon EBS provides persistent block-level storage volumes for EC2 instances. EBS volumes persist independently of the instance lifecycle — they survive instance stop/start and can be detached and reattached to other instances.,S3 is object storage accessed over HTTPS. It cannot serve as a block-level root volume for an EC2 instance.,Instance Store is ephemeral storage physically attached to the host. Data is lost when the instance stops or terminates — the opposite of the requirement.,"EFS is a shared file system, not a block device. It cannot be used as an EC2 root volume.",2026-05-17 09:07:51.173233+00,"[""ebs""]"
1c567b55-c482-4e24-a12e-36e8b4137d2b,f36451d8-dea1-48d9-be5a-4b033423ab9d,A company is designing a disaster-recovery strategy and wants to host a warm standby of its application in a geographically distant location that is fully isolated from its primary location. Which AWS infrastructure component should it use for the standby location?,A second AWS Region,A different subnet in the same VPC,A different Availability Zone in the same Region,An edge location,AWS Regions are geographically separated and fully isolated from each other. Deploying a warm standby in a second Region protects against Region-wide failures and natural disasters affecting the primary Region.,Subnets in the same VPC share the same Region and likely the same data center group. They do not provide geographic isolation.,Different AZs within a Region are isolated data centers within the same metropolitan area. They do not provide the geographic distance the scenario requires.,Edge locations cache content and are not full deployment targets for hosting applications or standby environments.,2026-05-17 09:07:51.173233+00,
1c9390dd-9e32-46ca-bff6-7596f47c8748,262e83a8-2ef2-460f-b9af-8f2086d0ea53,"A high-traffic application uses DynamoDB with provisioned capacity. During peak hours, the application receives ThrottlingException errors on write operations even though the table's average WCU consumption is well below the provisioned limit. The writes are concentrated on a small number of items. What is the MOST likely cause?","Hot partition — the writes are concentrated on a small number of partition keys, exceeding the per-partition throughput limit even though the table-level WCU is not exhausted.",The table's provisioned WCU is too low and needs to be increased to handle peak write traffic.,DynamoDB auto scaling has not yet responded to the traffic increase and is still adjusting capacity.,"The application is using eventually consistent reads, which compete with write capacity units.","DynamoDB distributes data across partitions by partition key. Each partition has a throughput limit (currently 1,000 WCU per partition). If writes are concentrated on a small number of partition keys, those partitions can be throttled even when the table's total provisioned WCU is not exhausted. The solution is to redesign the partition key to distribute writes more evenly — for example, by adding a random suffix or using a composite key.","The scenario states that average WCU consumption is well below the provisioned limit, which rules out insufficient total capacity as the cause. The problem is uneven distribution across partitions, not insufficient total throughput.","DynamoDB auto scaling adjusts provisioned capacity in response to sustained load changes. However, the scenario indicates the table-level WCU is not exhausted, so auto scaling would not trigger. The issue is partition-level hot spots, not table-level capacity.","Eventually consistent reads consume 0.5 RCU per read — they use read capacity, not write capacity. Read operations do not compete with or consume write capacity units.",2026-05-17 09:13:24.511734+00,"[""dynamodb""]"
1d41ae0a-0475-461b-9014-e246f0739312,448ad5de-48ea-4316-a6e1-06e6fb4a0f37,A company hosts 50 infrequently used ML models on separate SageMaker real-time endpoints. Each model serves only a few requests per day. The team wants to reduce infrastructure costs while keeping all models accessible. Which SageMaker feature should they use?,SageMaker multi-model endpoints,SageMaker multi-container endpoints,SageMaker Serverless Inference with separate endpoints per model,SageMaker Batch Transform with a shared job queue,"SageMaker multi-model endpoints allow multiple models to be hosted behind a single endpoint on shared infrastructure. Models are loaded into memory on demand and unloaded when not in use, significantly reducing the cost of hosting 50 infrequently used models compared to maintaining 50 separate endpoints.","SageMaker multi-container endpoints run multiple containers on a single endpoint for ensemble or pipeline inference. They are designed for a small number of containers that run simultaneously, not for hosting 50 independently invocable models.","SageMaker Serverless Inference with separate endpoints per model would still require 50 separate endpoints, each with its own configuration and management overhead. Multi-model endpoints consolidate all 50 models behind a single endpoint.","SageMaker Batch Transform is for offline batch inference, not for serving real-time requests to 50 accessible models. It does not provide an always-available inference endpoint.",2026-05-17 09:13:59.248925+00,"[""sagemaker"",""sagemaker-endpoints""]"
1d49e98b-9c44-4c23-a90e-a6b5314fe6b5,1812e58f-9431-4e6c-b163-0fc95fedf651,"A Lambda function processes messages from an SQS queue. The function is failing on a specific message that contains malformed JSON, causing it to throw an unhandled exception. The message is being retried repeatedly, blocking other messages in the queue. After how many failed attempts does SQS make the message available to other consumers by default, and what should the team configure to prevent indefinite retries?",SQS makes the message visible again after the visibility timeout expires on each failed attempt. The team should configure a Dead Letter Queue with a maxReceiveCount to automatically move the message to the DLQ after a set number of failures.,SQS automatically deletes messages after 3 failed Lambda invocations to prevent queue blocking.,SQS moves the message to a DLQ automatically after the first failed Lambda invocation without any additional configuration.,Increasing the SQS visibility timeout to 12 hours prevents the message from being retried and blocking the queue.,"SQS does not automatically delete or move messages after failed processing — it simply makes them visible again after the visibility timeout expires. To prevent indefinite retries, a Dead Letter Queue must be explicitly configured with a maxReceiveCount. Once a message has been received and failed processing maxReceiveCount times, SQS automatically moves it to the DLQ, allowing subsequent valid messages to be processed.","SQS does not automatically delete messages after a fixed number of failed invocations. Without a DLQ configured, a message that consistently fails processing will be retried indefinitely until the message retention period expires (up to 14 days).","SQS does not automatically move messages to a DLQ without explicit configuration. A DLQ must be created, associated with the source queue, and a maxReceiveCount must be set. There is no default automatic DLQ behavior.","Increasing the visibility timeout extends the window during which the message is hidden from other consumers while Lambda processes it. A 12-hour timeout would hide the message for 12 hours on each failed attempt, making the blocking problem significantly worse rather than resolving it.",2026-05-17 09:13:24.511734+00,"[""sqs"",""lambda""]"
1d4bb08c-aaed-4720-9ca4-31e03ddfc3b6,1573197f-70bd-4a91-87d5-0a3c48096f15,"A company wants to build a recommendation system to suggest products to users based on their purchase history. The dataset contains user-item interaction data with 500,000 users and 100,000 products. There are no explicit ratings — only implicit feedback (purchases). Which Amazon SageMaker built-in algorithm is most appropriate for this use case?",Factorization Machines,Linear Learner,K-Nearest Neighbors (KNN),DeepAR,"Amazon SageMaker's Factorization Machines algorithm is designed for sparse datasets with high-dimensional feature interactions, making it ideal for collaborative filtering recommendation systems. It can model user-item interactions efficiently even with implicit feedback and large-scale sparse matrices.",Linear Learner is designed for regression and classification tasks on dense feature vectors. It does not model the pairwise interaction structure between users and items that is fundamental to collaborative filtering.,"K-Nearest Neighbors finds similar items based on feature distance, but it does not scale well to 500,000 users and 100,000 products. It also requires dense feature representations and does not natively handle sparse user-item interaction matrices.",DeepAR is a time-series forecasting algorithm that models temporal sequences. It is not designed for user-item recommendation tasks and cannot model collaborative filtering interactions.,2026-05-17 09:13:40.338933+00,"[""sagemaker"",""sagemaker-built-in-algorithms""]"
